Date,Country,Confirmed Cases,Deaths,New Cases,Country Population
2022-09-01,Germany,32184553,147494,0,83783942
2022-08-31,Germany,32184553,147494,88699,83783942
2022-08-30,Germany,32095854,147223,0,83783942
2022-08-29,Germany,32095854,147223,54504,83783942
2022-08-28,Germany,32041350,147104,1,83783942
2022-08-27,Germany,32041349,147104,1,83783942
2022-08-26,Germany,32041348,147104,33226,83783942
2022-08-25,Germany,32008122,147003,86544,83783942
2022-08-24,Germany,31921578,146797,0,83783942
2022-08-23,Germany,31921578,146797,52939,83783942
2022-08-22,Germany,31868639,146650,60411,83783942
2022-08-21,Germany,31808228,146504,49,83783942
2022-08-20,Germany,31808179,146504,0,83783942
2022-08-19,Germany,31808179,146504,36295,83783942
2022-08-18,Germany,31771884,146383,46724,83783942
2022-08-17,Germany,31725160,146214,58685,83783942
2022-08-16,Germany,31666475,146030,67390,83783942
2022-08-15,Germany,31599085,145838,63745,83783942
2022-08-14,Germany,31535340,145698,-3,83783942
2022-08-13,Germany,31535343,145698,0,83783942
2022-08-12,Germany,31535343,145698,45859,83783942
2022-08-11,Germany,31489484,145561,49839,83783942
2022-08-10,Germany,31439645,145394,59888,83783942
2022-08-09,Germany,31379757,145241,72737,83783942
2022-08-08,Germany,31307020,145028,78698,83783942
2022-08-07,Germany,31228322,144858,8,83783942
2022-08-06,Germany,31228314,144858,0,83783942
2022-08-05,Germany,31228314,144858,49609,83783942
2022-08-04,Germany,31178705,144717,59506,83783942
2022-08-03,Germany,31119199,144552,74645,83783942
2022-08-02,Germany,31044554,144360,87681,83783942
2022-08-01,Germany,30956873,144150,102698,83783942
2022-07-31,Germany,30854175,143979,861,83783942
2022-07-30,Germany,30853314,143972,2,83783942
2022-07-29,Germany,30853312,143972,66003,83783942
2022-07-28,Germany,30787309,143855,84798,83783942
2022-07-27,Germany,30702511,143702,104126,83783942
2022-07-26,Germany,30598385,143545,121780,83783942
2022-07-25,Germany,30476605,143364,145472,83783942
2022-07-24,Germany,30331133,143177,0,83783942
2022-07-23,Germany,30331133,143177,2,83783942
2022-07-22,Germany,30331131,143177,92009,83783942
2022-07-21,Germany,30239122,143061,107819,83783942
2022-07-20,Germany,30131303,142948,136624,83783942
2022-07-19,Germany,29994679,142771,140999,83783942
2022-07-18,Germany,29853680,142635,160691,83783942
2022-07-17,Germany,29692989,142533,0,83783942
2022-07-16,Germany,29692989,142533,0,83783942
2022-07-15,Germany,29692989,142533,123046,83783942
2022-07-14,Germany,29569943,142399,109694,83783942
2022-07-13,Germany,29460249,142284,152149,83783942
2022-07-12,Germany,29308100,142139,127611,83783942
2022-07-11,Germany,29180489,142035,154729,83783942
2022-07-10,Germany,29025760,141870,3495,83783942
2022-07-09,Germany,29022265,141862,0,83783942
2022-07-08,Germany,29022265,141862,95919,83783942
2022-07-07,Germany,28926346,141758,117732,83783942
2022-07-06,Germany,28808614,141627,135402,83783942
2022-07-05,Germany,28673212,141519,130728,83783942
2022-07-04,Germany,28542484,141397,147489,83783942
2022-07-03,Germany,28394995,141295,2365,83783942
2022-07-02,Germany,28392630,141292,1,83783942
2022-07-01,Germany,28392629,141292,98669,83783942
2022-06-30,Germany,28293960,141189,113099,83783942
2022-06-29,Germany,28180861,141105,132671,83783942
2022-06-28,Germany,28048190,141022,133950,83783942
2022-06-27,Germany,27914240,140847,142329,83783942
2022-06-26,Germany,27771911,140734,799,83783942
2022-06-25,Germany,27771112,140734,1,83783942
2022-06-24,Germany,27771111,140734,89336,83783942
2022-06-23,Germany,27681775,140650,108190,83783942
2022-06-22,Germany,27573585,140560,119360,83783942
2022-06-21,Germany,27454225,140462,119232,83783942
2022-06-20,Germany,27334993,140358,123097,83783942
2022-06-19,Germany,27211896,140176,6941,83783942
2022-06-18,Germany,27204955,140176,2,83783942
2022-06-17,Germany,27204953,140176,80264,83783942
2022-06-16,Germany,27124689,140118,28118,83783942
2022-06-15,Germany,27096571,140099,89142,83783942
2022-06-14,Germany,27007429,140026,92344,83783942
2022-06-13,Germany,26915085,139914,105840,83783942
2022-06-12,Germany,26809245,139807,5378,83783942
2022-06-11,Germany,26803867,139806,0,83783942
2022-06-10,Germany,26803867,139806,65337,83783942
2022-06-09,Germany,26738530,139729,77878,83783942
2022-06-08,Germany,26660652,139623,77636,83783942
2022-06-07,Germany,26583016,139533,84655,83783942
2022-06-06,Germany,26498361,139388,1750,83783942
2022-06-05,Germany,26496611,139386,3376,83783942
2022-06-04,Germany,26493235,139386,0,83783942
2022-06-03,Germany,26493235,139386,41087,83783942
2022-06-02,Germany,26452148,139313,42693,83783942
2022-06-01,Germany,26409455,139222,48502,83783942
2022-05-31,Germany,26360953,139091,54957,83783942
2022-05-30,Germany,26305996,139000,61889,83783942
2022-05-29,Germany,26244107,138864,755,83783942
2022-05-28,Germany,26243352,138862,2713,83783942
2022-05-27,Germany,26240639,138854,39976,83783942
2022-05-26,Germany,26200663,138781,1852,83783942
2022-05-25,Germany,26198811,138779,39705,83783942
2022-05-24,Germany,26159106,138643,49141,83783942
2022-05-23,Germany,26109965,138485,64437,83783942
2022-05-22,Germany,26045528,138326,1245,83783942
2022-05-21,Germany,26044283,138325,3823,83783942
2022-05-20,Germany,26040460,138324,42375,83783942
2022-05-19,Germany,25998085,138204,48910,83783942
2022-05-18,Germany,25949175,138053,58719,83783942
2022-05-17,Germany,25890456,137888,72051,83783942
2022-05-16,Germany,25818405,137714,86252,83783942
2022-05-15,Germany,25732153,137499,2305,83783942
2022-05-14,Germany,25729848,137499,6151,83783942
2022-05-13,Germany,25723697,137492,61859,83783942
2022-05-12,Germany,25661838,137348,68999,83783942
2022-05-11,Germany,25592839,137184,88961,83783942
2022-05-10,Germany,25503878,136987,97010,83783942
2022-05-09,Germany,25406868,136756,107568,83783942
2022-05-08,Germany,25299300,136538,3350,83783942
2022-05-07,Germany,25295950,136533,8488,83783942
2022-05-06,Germany,25287462,136523,72252,83783942
2022-05-05,Germany,25215210,136339,85073,83783942
2022-05-04,Germany,25130137,136125,96167,83783942
2022-05-03,Germany,25033970,135942,106631,83783942
2022-05-02,Germany,24927339,135701,113522,83783942
2022-05-01,Germany,24813817,135461,4032,83783942
2022-04-30,Germany,24809785,135461,11718,83783942
2022-04-29,Germany,24798067,135451,87298,83783942
2022-04-28,Germany,24710769,135292,101610,83783942
2022-04-27,Germany,24609159,135078,271765,83783942
2022-04-26,Germany,24337394,134489,0,83783942
2022-04-25,Germany,24337394,134489,136798,83783942
2022-04-24,Germany,24200596,134185,20084,83783942
2022-04-23,Germany,24180512,134179,39179,83783942
2022-04-22,Germany,24141333,134155,135079,83783942
2022-04-21,Germany,24006254,133921,161718,83783942
2022-04-20,Germany,23844536,133632,186325,83783942
2022-04-19,Germany,23658211,133308,198583,83783942
2022-04-18,Germany,23459628,132960,22483,83783942
2022-04-17,Germany,23437145,132953,20482,83783942
2022-04-16,Germany,23416663,132942,39784,83783942
2022-04-15,Germany,23376879,132929,37568,83783942
2022-04-14,Germany,23339311,132900,156864,83783942
2022-04-13,Germany,23182447,132688,165368,83783942
2022-04-12,Germany,23017079,132378,138651,83783942
2022-04-11,Germany,22878428,132017,200442,83783942
2022-04-10,Germany,22677986,131728,30789,83783942
2022-04-09,Germany,22647197,131715,55471,83783942
2022-04-08,Germany,22591726,131679,150675,83783942
2022-04-07,Germany,22441051,131370,175263,83783942
2022-04-06,Germany,22265788,131036,416714,83783942
2022-04-05,Germany,21849074,130368,180397,83783942
2022-04-04,Germany,21668677,130052,0,83783942
2022-04-03,Germany,21668677,130052,115182,83783942
2022-04-02,Germany,21553495,129987,196456,83783942
2022-04-01,Germany,21357039,129695,-56,83783942
2022-03-31,Germany,21357095,129708,527487,83783942
2022-03-30,Germany,20829608,129112,268477,83783942
2022-03-29,Germany,20561131,128764,237352,83783942
2022-03-28,Germany,20323779,128457,67501,83783942
2022-03-27,Germany,20256278,128437,111224,83783942
2022-03-26,Germany,20145054,128388,252026,83783942
2022-03-25,Germany,19893028,128110,296498,83783942
2022-03-24,Germany,19596530,127822,318387,83783942
2022-03-23,Germany,19278143,127522,283732,83783942
2022-03-22,Germany,18994411,127193,222080,83783942
2022-03-21,Germany,18772331,126929,92314,83783942
2022-03-20,Germany,18680017,126916,131792,83783942
2022-03-19,Germany,18548225,126867,260239,83783942
2022-03-18,Germany,18287986,126646,297845,83783942
2022-03-17,Germany,17990141,126420,294931,83783942
2022-03-16,Germany,17695210,126142,262593,83783942
2022-03-15,Germany,17432617,125873,198888,83783942
2022-03-14,Germany,17233729,125590,92378,83783942
2022-03-13,Germany,17141351,125571,146607,83783942
2022-03-12,Germany,16994744,125521,237086,83783942
2022-03-11,Germany,16757658,125272,252836,83783942
2022-03-10,Germany,16504822,125023,262752,83783942
2022-03-09,Germany,16242070,124764,215854,83783942
2022-03-08,Germany,16026216,124450,156799,83783942
2022-03-07,Germany,15869417,124126,78428,83783942
2022-03-06,Germany,15790989,124102,116889,83783942
2022-03-05,Germany,15674100,124051,192210,83783942
2022-03-04,Germany,15481890,123796,217593,83783942
2022-03-03,Germany,15264297,123505,210673,83783942
2022-03-02,Germany,15053624,123238,186406,83783942
2022-03-01,Germany,14867218,122937,122111,83783942
2022-02-28,Germany,14745107,122702,62349,83783942
2022-02-27,Germany,14682758,122678,107913,83783942
2022-02-26,Germany,14574845,122621,175833,83783942
2022-02-25,Germany,14399012,122371,210743,83783942
2022-02-24,Germany,14188269,122145,216322,83783942
2022-02-23,Germany,13971947,121902,209052,83783942
2022-02-22,Germany,13762895,121603,125902,83783942
2022-02-21,Germany,13636993,121297,73867,83783942
2022-02-20,Germany,13563126,121275,118032,83783942
2022-02-19,Germany,13445094,121202,189105,83783942
2022-02-18,Germany,13255989,120992,220048,83783942
2022-02-17,Germany,13035941,120728,235626,83783942
2022-02-16,Germany,12800315,120467,219972,83783942
2022-02-15,Germany,12580343,120220,159217,83783942
2022-02-14,Germany,12421126,119977,76465,83783942
2022-02-13,Germany,12344661,119935,125160,83783942
2022-02-12,Germany,12219501,119877,209789,83783942
2022-02-11,Germany,12009712,119679,240172,83783942
2022-02-10,Germany,11769540,119453,247862,83783942
2022-02-09,Germany,11521678,119215,234250,83783942
2022-02-08,Germany,11287428,118943,169571,83783942
2022-02-07,Germany,11117857,118766,95267,83783942
2022-02-06,Germany,11022590,118717,133173,83783942
2022-02-05,Germany,10889417,118676,217815,83783942
2022-02-04,Germany,10671602,118504,248838,83783942
2022-02-03,Germany,10422764,118334,236120,83783942
2022-02-02,Germany,10186644,118170,208498,83783942
2022-02-01,Germany,9978146,117974,162613,83783942
2022-01-31,Germany,9815533,117786,78318,83783942
2022-01-30,Germany,9737215,117725,118970,83783942
2022-01-29,Germany,9618245,117666,189166,83783942
2022-01-28,Germany,9429079,117484,190148,83783942
2022-01-27,Germany,9238931,117314,203136,83783942
2022-01-26,Germany,9035795,117126,164000,83783942
2022-01-25,Germany,8871795,116960,126955,83783942
2022-01-24,Germany,8744840,116746,63393,83783942
2022-01-23,Germany,8681447,116718,85440,83783942
2022-01-22,Germany,8596007,116664,135461,83783942
2022-01-21,Germany,8460546,116485,140160,83783942
2022-01-20,Germany,8320386,116315,133536,83783942
2022-01-19,Germany,8186850,116081,112323,83783942
2022-01-18,Germany,8074527,115842,74405,83783942
2022-01-17,Germany,8000122,115649,34145,83783942
2022-01-16,Germany,7965977,115619,52504,83783942
2022-01-15,Germany,7913473,115572,78022,83783942
2022-01-14,Germany,7835451,115337,92223,83783942
2022-01-13,Germany,7743228,115051,81417,83783942
2022-01-12,Germany,7661811,114735,80430,83783942
2022-01-11,Germany,7581381,114351,45690,83783942
2022-01-10,Germany,7535691,114029,25255,83783942
2022-01-09,Germany,7510436,113977,36552,83783942
2022-01-08,Germany,7473884,113900,55889,83783942
2022-01-07,Germany,7417995,113632,56335,83783942
2022-01-06,Germany,7361660,113368,64340,83783942
2022-01-05,Germany,7297320,112925,58912,83783942
2022-01-04,Germany,7238408,112579,30561,83783942
2022-01-03,Germany,7207847,112223,18518,83783942
2022-01-02,Germany,7189329,112155,12515,83783942
2022-01-01,Germany,7176814,112109,26392,83783942
2021-12-31,Germany,7150422,111925,41240,83783942
2021-12-30,Germany,7109182,111602,42770,83783942
2021-12-29,Germany,7066412,111219,40043,83783942
2021-12-28,Germany,7026369,110805,21080,83783942
2021-12-27,Germany,7005289,110433,13908,83783942
2021-12-26,Germany,6991381,110364,10100,83783942
2021-12-25,Germany,6981281,110276,22214,83783942
2021-12-24,Germany,6959067,110119,35431,83783942
2021-12-23,Germany,6923636,109749,44927,83783942
2021-12-22,Germany,6878709,109324,45659,83783942
2021-12-21,Germany,6833050,108814,23428,83783942
2021-12-20,Germany,6809622,108352,16086,83783942
2021-12-19,Germany,6793536,108233,29348,83783942
2021-12-18,Germany,6764188,108053,42813,83783942
2021-12-17,Germany,6721375,107639,50968,83783942
2021-12-16,Germany,6670407,107202,56677,83783942
2021-12-15,Germany,6613730,106680,51301,83783942
2021-12-14,Germany,6562429,106227,30823,83783942
2021-12-13,Germany,6531606,105754,21743,83783942
2021-12-12,Germany,6509863,105638,32646,83783942
2021-12-11,Germany,6477217,105506,53697,83783942
2021-12-10,Germany,6423520,104996,61288,83783942
2021-12-09,Germany,6362232,104512,70611,83783942
2021-12-08,Germany,6291621,104047,69601,83783942
2021-12-07,Germany,6222020,103520,36059,83783942
2021-12-06,Germany,6185961,103121,27836,83783942
2021-12-05,Germany,6158125,103040,42055,83783942
2021-12-04,Germany,6116070,102946,64510,83783942
2021-12-03,Germany,6051560,102568,74352,83783942
2021-12-02,Germany,5977208,102178,73209,83783942
2021-12-01,Germany,5903999,101790,67186,83783942
2021-11-30,Germany,5836813,101344,45753,83783942
2021-11-29,Germany,5791060,100956,29364,83783942
2021-11-28,Germany,5761696,100883,44401,83783942
2021-11-27,Germany,5717295,100779,67125,83783942
2021-11-26,Germany,5650170,100476,76414,83783942
2021-11-25,Germany,5573756,100119,75961,83783942
2021-11-24,Germany,5497795,99768,66884,83783942
2021-11-23,Germany,5430911,99433,45326,83783942
2021-11-22,Germany,5385585,99124,30643,83783942
2021-11-21,Germany,5354942,99062,42727,83783942
2021-11-20,Germany,5312215,98987,63924,83783942
2021-11-19,Germany,5248291,98739,52970,83783942
2021-11-18,Germany,5195321,98538,65371,83783942
2021-11-17,Germany,5129950,98274,52826,83783942
2021-11-16,Germany,5077124,97980,32048,83783942
2021-11-15,Germany,5045076,97715,23607,83783942
2021-11-14,Germany,5021469,97672,33498,83783942
2021-11-13,Germany,4987971,97617,45081,83783942
2021-11-12,Germany,4942890,97389,48640,83783942
2021-11-11,Germany,4894250,97198,50196,83783942
2021-11-10,Germany,4844054,96963,39676,83783942
2021-11-09,Germany,4804378,96727,21832,83783942
2021-11-08,Germany,4782546,96558,15513,83783942
2021-11-07,Germany,4767033,96525,23543,83783942
2021-11-06,Germany,4743490,96488,34002,83783942
2021-11-05,Germany,4709488,96346,37120,83783942
2021-11-04,Germany,4672368,96192,33949,83783942
2021-11-03,Germany,4638419,96027,20398,83783942
2021-11-02,Germany,4618021,95833,10813,83783942
2021-11-01,Germany,4607208,95752,9658,83783942
2021-10-31,Germany,4597550,95729,16887,83783942
2021-10-30,Germany,4580663,95696,21543,83783942
2021-10-29,Germany,4559120,95606,24668,83783942
2021-10-28,Germany,4534452,95485,28037,83783942
2021-10-27,Germany,4506415,95359,23212,83783942
2021-10-26,Germany,4483203,95245,10473,83783942
2021-10-25,Germany,4472730,95117,6573,83783942
2021-10-24,Germany,4466157,95100,13732,83783942
2021-10-23,Germany,4452425,95077,15145,83783942
2021-10-22,Germany,4437280,94991,19572,83783942
2021-10-21,Germany,4417708,94875,16077,83783942
2021-10-20,Germany,4401631,94808,17015,83783942
2021-10-19,Germany,4384616,94716,6771,83783942
2021-10-18,Germany,4377845,94628,4056,83783942
2021-10-17,Germany,4373789,94618,8682,83783942
2021-10-16,Germany,4365107,94601,10949,83783942
2021-10-15,Germany,4354158,94526,11518,83783942
2021-10-14,Germany,4342640,94461,12382,83783942
2021-10-13,Germany,4330258,94389,11903,83783942
2021-10-12,Germany,4318355,94297,4971,83783942
2021-10-11,Germany,4313384,94209,3111,83783942
2021-10-10,Germany,4310273,94202,7612,83783942
2021-10-09,Germany,4302661,94178,8854,83783942
2021-10-08,Germany,4293807,94113,10429,83783942
2021-10-07,Germany,4283378,94027,11644,83783942
